,,,5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理会社,客先名称,運搬業者,品名,,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),31(日),合計,,,,
,その他・バラ合計（持込み+バラ,,,,"17,920","1,020",360,220,460,"2,520","9,520","7,980","1,060",290,"13,740","8,990","13,610","11,400","11,040","1,130",390,"8,330","9,860","13,280","6,890","3,160","1,110",310,"13,400","13,900","20,530","10,340","12,520",980,340,"216,600",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他-プレス品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.プレス品,,
,TS環境リサイクル,,シュレッダー・プレス,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,その他のプレス品,,"66,730"
,中部砕石,,壁紙・プレス,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,その他・プレス品合計,,"66,730"
,中部砕石,,ワンプ・プレス,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,日本製紙　勿来,遠藤運輸,感熱・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,日本製紙　勿来,遠藤運輸,ﾉｰｶｰﾎﾞﾝ・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,日本製紙　勿来,遠藤運輸,雑古紙・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,日本製紙　勿来,遠藤運輸,XⅠ・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,花の木商事,ユーネット,タオルペーパ・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,中津紙工,,アルバム台紙,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
都市ｸﾘｴｲﾄ,ﾜｰﾙﾄﾞｻﾌﾟﾗｲ川崎センター,,帳票類・パレット,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,レックス(株),,牛乳パック・プレス,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,ｴﾘｴｰﾙﾌﾟﾛﾀﾞｸﾄ(株)いわき工場,,ﾃｨｯｼｭ損紙・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,坂田亮作商店,,カップ原紙・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,坂田亮作商店,,ｶｯﾌﾟ(ﾋﾞﾆｰﾙB）,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,坂田亮作商店,,ｶｯﾌﾟ(ﾋﾞﾆｰﾙE）,引取,,,,,,,,"12,950",,,,,"13,100",,,,,,"13,150",,,"13,230",,,,,,"13,340",,,,"65,770",,,,
,翔友（新和製紙）,ヤマウチ,牛乳パック・プレス,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,翔友（新和製紙）,ヤマウチ,台紙・プレス,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,翔友（２）,,台紙・プレス,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
カナキン,湘南リンテック加工（株）,,上白・プレス,引取,,,,,,,,,,,,,,,160,,,,,160,,,,,,,,480,,,,800,,,,
カナキン,湘南リンテック加工（株）,,白・色混り・プレス,引取,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,
,ティーエスエンバイロ,,ｽﾄﾚｯﾁﾌｨﾙﾑ・ﾌﾟﾚｽ,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,旭商会,,プレスボード,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,その他・プレス品合計,,,,0,0,0,0,0,0,160,"12,950",0,0,0,0,"13,100",0,160,0,0,0,"13,150",160,0,"13,230",0,0,0,0,0,"13,820",0,0,0,"66,730",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
