＜入荷＞,,,,,,,,,,,,,,,
①段ボール,,,,,,,,,,,,,,,
1.持込み・バラ,,07/5,07/6,07/7,07/8,07/9,07/10,07/11,07/12,08/1,08/2,08/3,08/4,08/5,前年同月
ｴﾘｴｰﾙﾍﾟｰﾊﾟ,ｼｭﾚｯﾀﾞｰ,"9,150","10,410","11,410","11,450","10,590","12,090","10,870","18,860","9,850",0,"18,890","23,380",0,"-9,150"
ｴﾘｴｰﾙﾍﾟｰﾊﾟ,上ケント,,,,,,,,"12,630",0,"12,940",0,0,0,0
王子製紙,模造,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王子ｸﾞﾘｰﾝﾘｿｰｽ,上白,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王子マテリア,上白,0,0,0,0,0,0,0,0,0,0,"11,650",0,0,0
王子マテリア,白アート,,"12,660",0,0,0,0,0,0,0,0,0,0,0,0
阪和興業,袋茶,0,"12,050",0,0,"11,650",0,"10,130",0,0,0,0,"10,700",0,0
大津板紙（JOP),袋茶,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鶴見製紙,機密書類,0,"3,110",0,0,0,0,"2,240",0,0,0,"2,860","1,730","2,290","2,290"
ﾘﾝｸｺｰﾎﾟﾚｰｼｮﾝ,ウエス,0,"1,600","2,720",0,"4,530","2,140","2,540","2,510","2,340","2,060","1,930","2,610","1,770","1,770"
富商,ウエス,"8,970","3,920","3,810","4,150","1,600","4,520","3,490","3,810","4,220","1,690","3,450","4,430","6,060","-2,910"
ベストトレーディング,ウエス,690,0,0,0,0,0,0,920,0,0,0,830,0,-690
大西金属,アルミ缶,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レックス,難処理古紙,0,"13,260",0,0,"12,680",0,0,0,0,0,0,0,0,0
シブヤ,鉄くず,0,0,0,0,0,0,0,"1,240","1,130",0,0,0,0,0
富士里和製紙,上ケント,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新橋製紙,上ケント,0,0,0,0,0,0,0,0,0,0,"27,310","13,310","24,190","24,190"
太洋紙業,上ケントS,,,,,"11,950","12,570","12,910",0,"12,910",0,0,0,0,0
田丸,ペットボトル,"3,890","7,940","5,850","7,070","6,030","5,710","4,620",0,"6,140","5,500","6,000","7,280",0,"-3,890"
岩本商店,残紙,"3,040","3,160","6,340","9,430","3,160","3,120","2,970","6,200","6,480","2,960","3,160","6,190","6,020","2,980"
